Date,Open,High,Low,Close,Adj Close,Volume
2022-05-12,342.799988,352.200012,341.799988,344.200012,342.588776,20022898
2022-05-13,350.000000,357.200012,350.000000,354.399994,352.740997,19487577
2022-05-16,360.000000,362.399994,347.200012,350.000000,348.361603,15558023
2022-05-17,354.399994,369.399994,354.399994,368.399994,366.675476,30117051
2022-05-18,375.200012,375.200012,358.000000,365.600006,363.888580,28343560
2022-05-19,342.000000,343.600006,334.000000,341.799988,340.199982,60149532
2022-05-20,348.000000,354.799988,346.000000,352.200012,352.200012,28325659
2022-05-23,349.600006,350.600006,342.000000,346.799988,346.799988,17034672
2022-05-24,342.799988,347.600006,336.399994,338.000000,338.000000,19699960
2022-05-25,334.799988,339.799988,334.000000,334.000000,334.000000,21553207
2022-05-26,335.000000,335.799988,330.000000,334.200012,334.200012,18496371
2022-05-27,345.600006,347.799988,338.200012,341.799988,341.799988,20760810
2022-05-30,345.799988,351.200012,344.399994,350.000000,350.000000,22298377
2022-05-31,349.000000,363.000000,346.399994,362.399994,362.399994,64756621
2022-06-01,362.000000,366.200012,357.799988,360.399994,360.399994,26920272
2022-06-02,355.000000,360.600006,353.799988,359.000000,359.000000,14182488
2022-06-06,362.000000,369.399994,356.000000,367.600006,367.600006,23900121
2022-06-07,372.000000,374.799988,363.000000,367.600006,367.600006,27086986
2022-06-08,375.000000,391.399994,373.200012,391.399994,391.399994,47476909
2022-06-09,404.000000,406.799988,389.000000,394.799988,394.799988,39147100
2022-06-10,384.399994,398.200012,383.000000,396.399994,396.399994,29755765
2022-06-13,383.600006,386.799988,373.600006,377.000000,377.000000,24938012
2022-06-14,367.399994,378.399994,367.399994,376.000000,376.000000,16307664
2022-06-15,376.000000,382.200012,375.200012,379.799988,379.799988,21242678
2022-06-16,380.000000,382.399994,364.000000,367.600006,367.600006,22143706
2022-06-17,361.799988,374.600006,361.799988,369.399994,369.399994,19483010
2022-06-20,370.000000,374.000000,364.600006,370.799988,370.799988,11639693
2022-06-21,371.799988,381.000000,370.200012,381.000000,381.000000,15013276
2022-06-22,380.799988,380.799988,370.000000,370.000000,370.000000,13714137
2022-06-23,371.799988,379.399994,369.000000,375.000000,375.000000,12620777
2022-06-24,379.399994,386.000000,374.200012,384.200012,384.200012,18197838
2022-06-27,387.000000,400.200012,374.600006,378.200012,378.200012,57400982
2022-06-28,372.799988,373.399994,356.399994,365.799988,365.799988,58585070
2022-06-29,360.000000,370.399994,356.200012,365.000000,365.000000,34975785
